epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5732,1.53989,3.16617,1.20713,0.53952,0.30863,0.31684,0.20587,1.27082,1.74412,1.04247,8.42798e-05,8.42798e-05,8.42798e-05
2,155.443,1.20598,1.6178,1.02609,0.57674,0.4309,0.43576,0.27936,1.21041,1.41332,1.00334,0.000168942,0.000168942,0.000168942
3,221.134,1.1722,1.41875,1.00693,0.52737,0.49871,0.4736,0.3091,1.17118,1.40039,1.01283,0.000252927,0.000252927,0.000252927
4,286.332,1.11624,1.2753,0.98251,0.65014,0.50055,0.51224,0.33499,1.14767,1.28254,0.98397,0.000252959,0.000252959,0.000252959
5,351.776,1.09253,1.20254,0.96997,0.59521,0.55059,0.54526,0.35628,1.13886,1.24379,0.95988,0.000251945,0.000251945,0.000251945
6,417.426,1.07112,1.11768,0.95435,0.59602,0.48589,0.50359,0.32863,1.18134,1.36042,0.96508,0.000250931,0.000250931,0.000250931
7,482.884,1.05352,1.09252,0.95204,0.5782,0.56518,0.56406,0.37969,1.06142,1.13781,0.94251,0.000249917,0.000249917,0.000249917
8,548.496,1.04427,1.07207,0.95102,0.64008,0.52866,0.55905,0.37611,1.07471,1.16495,0.93638,0.000248904,0.000248904,0.000248904
9,613.5,1.02595,1.01421,0.94123,0.57932,0.57021,0.57194,0.38075,1.05979,1.13147,0.92839,0.00024789,0.00024789,0.00024789
10,678.675,0.97021,0.95107,0.92471,0.60627,0.58023,0.58371,0.3877,1.06119,1.09068,0.92154,0.000246876,0.000246876,0.000246876
11,743.586,0.96328,0.94788,0.92739,0.62385,0.57774,0.59592,0.4023,1.04488,1.11205,0.92091,0.000245862,0.000245862,0.000245862
12,809.002,0.98732,0.93656,0.92509,0.66705,0.58027,0.60649,0.40764,1.02185,1.09094,0.91765,0.000244849,0.000244849,0.000244849
13,874.314,0.95549,0.87392,0.91993,0.64623,0.58326,0.60805,0.407,1.035,1.01795,0.92277,0.000243835,0.000243835,0.000243835
14,939.582,0.95595,0.8805,0.91807,0.67489,0.58653,0.62341,0.4212,1.00416,1.03244,0.91413,0.000242821,0.000242821,0.000242821
